iter	MultiClass
0	2.010943216
1	1.858306278
2	1.708342704
3	1.595368328
4	1.493316897
5	1.396952614
6	1.31394059
7	1.242184478
8	1.17898199
9	1.121682112
10	1.066102594
11	1.017742818
12	0.9724547564
13	0.9364212703
14	0.8976503125
15	0.8627639514
16	0.8270184198
17	0.8021168345
18	0.7788189494
19	0.7569674406
20	0.7389170822
21	0.7178554362
22	0.6994448573
23	0.6822736803
24	0.6666919145
25	0.653690016
26	0.640224073
27	0.6273854683
28	0.6107435776
29	0.5969490509
30	0.5847620234
31	0.5729721333
32	0.5622500051
33	0.5531964263
34	0.5436307529
35	0.5352237249
36	0.5249675386
37	0.5182618706
38	0.5095729501
39	0.5027686587
40	0.4941825528
41	0.4862252381
42	0.4804783954
43	0.4737992038
44	0.4674664447
45	0.4616591511
46	0.4558436921
47	0.4504563228
48	0.4437736526
49	0.4383015388
50	0.433489653
51	0.4269416617
52	0.4222595834
53	0.4172960154
54	0.4131215111
55	0.4070089464
56	0.4018774991
57	0.3983158834
58	0.3949125489
59	0.3908589871
60	0.386555716
61	0.3817326383
62	0.3776003562
63	0.3735258304
64	0.3698452857
65	0.3671353981
66	0.3636089381
67	0.3598993707
68	0.3562011983
69	0.3525746131
70	0.3503189575
71	0.3475480384
72	0.3441327679
73	0.3404504233
74	0.3372397969
75	0.3346099816
76	0.3311383729
77	0.3290801766
78	0.3263092369
79	0.3229123464
80	0.3203283472
81	0.3182449856
82	0.3152703239
83	0.3127686538
84	0.3104780584
85	0.307983937
86	0.3048372914
87	0.3014744498
88	0.2990984541
89	0.2975391468
90	0.2952116693
91	0.2923776787
92	0.2891993488
93	0.2870631117
94	0.2851272095
95	0.2823425198
96	0.2802151685
97	0.2780896276
98	0.2757359343
99	0.2739859107
