iter	Passed	Remaining
0	59	5888
1	60	2969
2	61	1983
3	62	1491
4	62	1195
5	63	998
6	64	858
7	65	752
8	66	668
9	66	599
10	67	545
11	68	500
12	68	461
13	70	430
14	70	401
15	71	377
16	72	354
17	73	336
18	74	319
19	75	302
20	76	287
21	77	273
22	78	261
23	78	249
24	79	238
25	80	228
26	81	219
27	81	210
28	82	201
29	83	195
30	84	187
31	85	181
32	86	174
33	86	168
34	87	162
35	88	157
36	89	152
37	90	147
38	91	142
39	92	138
40	92	133
41	94	129
42	94	125
43	95	121
44	96	118
45	97	114
46	98	110
47	99	107
48	99	103
49	100	100
50	101	97
51	102	94
52	103	91
53	103	88
54	104	85
55	105	83
56	106	80
57	107	77
58	107	74
59	108	72
60	109	69
61	110	67
62	110	65
63	111	62
64	112	60
65	112	58
66	113	55
67	114	53
68	114	51
69	115	49
70	116	47
71	117	45
72	117	43
73	118	41
74	119	39
75	120	37
76	120	36
77	121	34
78	121	32
79	122	30
80	123	28
81	123	27
82	124	25
83	125	23
84	126	22
85	127	20
86	127	19
87	128	17
88	129	15
89	129	14
90	130	12
91	131	11
92	131	9
93	132	8
94	133	7
95	134	5
96	134	4
97	135	2
98	136	1
99	137	0
