Authors,Year,Paper,Country,MDS,Data Source Primary,Data Source Secondary,Algorithm,Task,Cross Validation,Performance Metric,Sample Size,Dataset,Goal,Abstract,Person,Notes,Wearable Location
Paul et al.,2024,Deep Learning-Based Method for Detecting Parkinson Using 1D Convolutional Neural Networks and Improved Jellyfish Algorithms,India,PD,,Speech,"1D-CNN, IJFA","Classification of voice recordings into normal, idiopathic Parkinson, and familial Parkinson",NA,"Accuracy, F1-Score, Precision, Sensitivity, Specificity","62 PD, 62 Control",Own Recruitment,"Utilize a deep learning-based 1D-CNN with an Improved Jellyfish Algorithm for hyperparameter selection, enhancing the early diagnosis of Parkinson's disease through voice data classification.","Parkinson's disease (PD) is a common disease that predominantly impacts the motor scheme of the neural central scheme. While the primary symptoms of Parkinson's disease overlap with those of other conditions, an accurate diagnosis typically relies on extensive neurological, psychiatric, and physical examinations. Consequently, numerous autonomous diagnostic assistance systems, based on machine learning (ML) methodologies, have emerged to assist in evaluating patients with PD. This work proposes a novel deep learning-based classification of Parkinson's disease (PD) using voice recordings of people into normal, idiopathic Parkinson, and familial Parkinson. The improved jellyfish algorithm (IJFA) is utilized for hyper-parameter selection (HPS) of a 1D convolutional neural network (1D-CNN). The proposed technique makes use of the significant elements of 1D-CNN and filter-based feature selection models. Because of their strong performance in dealing with noisy data, the filter-based algorithms Relief, mRMR, and Fisher Score were chosen as the top choices. Using just 62 characteristics, the combination of deep relief features and deep learning was able to discriminate between people. The competence of the proposed 1D-CNN with IJFA method was determined through specific network metrics. The proposed 1D-CNN with IJFA method attains a total accuracy of 98.6%, which is comparatively better than the existing techniques. The proposed model produced around 9.5% improvements in accuracy, respectively, when compared to the data obtained without dimensionality reduction.",IC,,
El Maachi et al.,2020,Deep 1D-Convnet for accurate Parkinson disease detection and severity prediction from gait,Canada,PD,,VGRF,1D-Convolutional Neural Networks,Gait analysis during a flat surface walk,10-fold,"Accuracy, F1-Score, Sensitivity, Specificity","93 PD, 73 Controls",PhysioNet,Creating a deep learning-based method for detecting Parkinson's Disease and predicting its severity using gait data from VGRF signals?,"Diagnosing Parkinson's disease is a complex task that requires the evaluation of several motor and non-motor symptoms. During diagnosis, gait abnormalities are among the important symptoms that physicians should consider. However, gait evaluation is challenging and relies on the expertise and subjectivity of clinicians. In this context, the use of an intelligent gait analysis algorithm may assist physicians in order to facilitate the diagnosis process. This paper proposes a novel intelligent Parkinson detection system based on deep learning techniques to analyze gait information. We used 1D convolutional neural network (1D-Convnet) to build a Deep Neural Network (DNN) classifier. The proposed model processes 18 1D-signals coming from foot sensors measuring the vertical ground reaction force (VGRF). The first part of the network consists of 18 parallel 1D-Convnet corresponding to system inputs. The second part is a fully connected network that connects the concatenated outputs of the 1D-Convnets to obtain a final classification. We tested our algorithm in Parkinson's detection and in the prediction of the severity of the disease with the Unified Parkinson's Disease Rating Scale (UPDRS). Our experiments demonstrate the high efficiency of the proposed method in the detection of Parkinson disease based on gait data. The proposed algorithm achieved an accuracy of 98.7 %. To our knowledge, this is the state-of-the-start performance in Parkinson's gait recognition. Furthermore, we achieved an accuracy of 85.3 % in Parkinson's severity prediction. To the best of our knowledge, this is the first algorithm to perform a severity prediction based on the UPDRS. Our results show that the model is able to learn intrinsic characteristics from gait data and to generalize to unseen subjects, which could be helpful in a clinical diagnosis.",IC,,
Shi et al.,2020,"Convolutional Neural Network for Freezing of Gait Detection
Leveraging the Continuous Wavelet Transform on Lower Extremities
Wearable Sensors Data",Singapore,FoG,,"Wearable, IMU, Accelerometer, Gyroscope, Magnetometer",2D-CNN,Up-And-Go,80/20,"Accuracy, Sensitivity, Specificity, Geometric Mean",64 FoG,Own Recruitment,Detection of Freezing of Gait episodes in Parkinson�s Disease patients using wearable sensor data,"Freezing of Gait is the most disabling gait
disturbance in Parkinson�s disease. For the past decade, there
has been a growing interest in applying machine learning
and deep learning models to wearable sensor data to detect
Freezing of Gait episodes. In our study, we recruited sixty-seven
Parkinson�s disease patients who have been suffering from
Freezing of Gait, and conducted two clinical assessments while
the patients wore two wireless Inertial Measurement Units on
their ankles. We converted the recorded time-series sensor data
into continuous wavelet transform scalograms and trained a
Convolutional Neural Network to detect the freezing episodes.
The proposed model achieved a generalisation accuracy of
89.2% and a geometric mean of 88.8%.",NC,,"Ankle, C7"
Guo et al.,2021,Multi-Scale Sparse Graph Convolutional Network For the Assessment of Parkinsonian Gait,China,PD ,,Video,2s-ST-AGCN,NA,5-fold,"Accuracy, Precision, Recall, F1-Score, ROC-AUC",157 PD,Own Recruitment,Automated quantitative assessment of gait motor disorder in PD patients using gait videos,"Automated assessment of patients with Parkinson�s
disease (PD) is urgently required in clinical practice to improve
the diagnostic efficiency and objectivity and to remotely monitor
the motor disorder symptoms and general health of these patients,
especially in view of the travel restrictions due to the recent
coronavirus epidemic. Gait motor disorder is one of the critical
manifestations of PD, and automated assessment of gait is vital
to realize automated assessment of PD patients. To this end,
we propose a novel two-stream spatial-temporal attention graph
convolutional network (2s-ST-AGCN) for video assessment of PD
gait motor disorder. Specifically, the skeleton sequence of human
body is extracted fromvideos to construct spatial-temporal graphs
of joints and bones, and a two-stream spatial-temporal graph
convolutional network is then built to simultaneously model the
static spatial information and dynamic temporal variations. The
multi-scale spatial-temporal attention-aware mechanism is also
designed to effectively extract the discriminative spatial-temporal
features. The deep supervision strategy is then embedded to
minimize classification errors, thereby guiding the weight update
process of the hidden layer to promote significant discriminative
features. Besides, two model-driven terms are integrated into this
deep learning framework to strengthen multi-scale similarity in
the deep supervision and realize sparsification of discriminative
features. Extensive experiments on the clinical video dataset show
that the proposed model exhibits good performance with an
accuracy of 65.66% and an acceptable accuracy of 98.90%, which
is much better than that of the existing sensor- and vision-based
methods for Parkinsonian gait assessment. Thus, the proposed
method is potentially useful for assessing PD gait motor disorder
in clinical practice.",NC,,
Yao et al.,2022,DystoniaBoTXNet: Novel Neural Network Biomarker of Botulinum Toxin Efficacy in Isolated Dystonia,United States,Isolated Dystonia,,MRI,3D-CNN (DystoniaBoTXNet),NA,NA,"Accuracy, AUC, NPV, PPV, Sensitivity, Specificity",284 Dystonia,Own Recruitment,Develop DL algorithm to provide accurate estimates of BoTX efficacy in dystonia patients using MRI,"Objective: Isolated dystonia is characterized by abnormal, often painful, postures and repetitive movements due to
sustained or intermittent involuntary muscle contractions. Botulinum toxin (BoTX) injections into the affected muscles
are the ?rst line of therapy. However, there are no objective predictive markers or standardized tests of BoTX ef?cacy
that can be utilized for appropriate candidate selection prior to treatment initiation.
Methods: We developed a deep learning algorithm, DystoniaBoTXNet, which uses a 3D convolutional neural network
architecture and raw structural brain magnetic resonance images (MRIs) to automatically discover and test a neural net-
work biomarker of BoTX ef?cacy in 284 patients with 4 different forms of focal dystonia, including laryngeal dystonia,
blepharospasm, cervical dystonia, and writer�s cramp.
Results: DystoniaBoTXNet identi?ed clusters in superior parietal lobule, inferior and middle frontal gyri, middle orbital
gyrus, inferior temporal gyrus, corpus callosum, inferior fronto-occipital fasciculus, and anterior thalamic radiation as
components of the treatment biomarker. These regions are known to contribute to both dystonia pathophysiology
across a broad clinical spectrum of disorder and the central effects of botulinum toxin treatment. Based on its bio-
marker, DystoniaBoTXNet achieved an overall accuracy of 96.3%, with 100% sensitivity and 86.1% speci?city, in
predicting BoTX ef?cacy in patients with isolated dystonia. The algorithmic decision was computed in 19.2 seconds
per case.
Interpretation: DystoniaBoTXNet and its treatment biomarker have a high translational potential as an objective, accu-
rate, generalizable, fast, and cost-effective algorithmic platform for enhancing clinical decision making for BoTX treat-
ment in patients with isolated dystonia.",NC,,
Wu et al.,2023,"Video-based evaluation system for tic action in Tourette syndrome: modeling, detection, and evaluation",China,TS,,Video,"3D-CNN, MIL",Video Analysis,NA,"Accuracy, Precision, Recall","57 TS, 44 Control",Own Recruitment,Develop a video-based detection system for tics in TS,"Behavioral ratings based on clinical observations are still the gold standard for screening, diagnosing, and assessing
outcomes in Tourette syndrome. Detecting tic symptoms plays an important role in patient treatment and evaluation;
accurate tic identification is the key to clinical diagnosis and evaluation. In this study, we proposed a tic action
detection method using face video feature recognition for tic and control groups. Through facial ROI extraction, a 3D
convolutional neural network was used to learn video feature representations, and multi-instance learning anomaly
detection strategy was integrated to construct the tic action analysis and discrimination framework. We applied this
tic recognition framework in our video dataset. The model evaluation results achieved average tic detection accuracy
of 91.02%, precision of 77.07% and recall of 78.78%. And the tic score curve with postprocessing provided information
of how the patient�s twitches change over time. The detection results at the individual level indicated that our
method can effectively detect tic actions in videos of Tourette patients without the need for fine labeling, which is
significant for the long-term evaluation of patients with Tourette syndrome.",NC,,
Zhang et al.,2020,Prediction of Freezing of Gait in Patients With Parkinson's Disease by Identifying Impaired Gait Patterns,China,FoG,,"Wearable, Accelerometer",AdaBoost,"Walking, 90 turns, 180 turns, doorways, narrow walking",10-fold,"Accuracy, Sensitivity, Specificity",12 FoG,Own Recruitment,Prediction: Predicting FoG using impaired gait patterns,"Freezing of gait (FoG) prediction, combined
with rhythmic laser cues,may help Parkinson'sdisease (PD)
patientsovercomeFoG episodes. This study aimed to utilize
the impaired gait patternsprecedingFoGto build amachinelearning-
based model for FoG prediction. Acceleration signals
were collected using an accelerometer attached to
the lower back of 12 PD patients with FoG while they
were performing designed FoG-provoking walking tasks.
Step-based impaired gait features and conventional FoG
detection featureswere extracted fromthe signals,basedon
which twoFoGpredictionmodelswere built usingAdaBoost
to validate if the use of the impaired gait features can better
predict FoG. For the correct labeling of the gait prior to
FoG (pre-FoG), the personalized pre-FoG phasewas defined
according to the slope of the impaired gait pattern. The
impaired gait features were relabeled based on the pre-
FoG phase upon which the personalized labeled FoG prediction
model was built. This was compared with the model
built using unified labeling. Results showed that impaired
gait features could better predict FoG than conventional
FoG detection features with low time latency, and personalized
labeling could further improve the FoG prediction
accuracy. Using impaired gait features and personalized
labeling, we built a FoG prediction model with 0.93 sec
of latency. Compared to using conventional features and unified labeling, our model achieved 5.7% higher accuracy
(82.7%) in patient-dependent test and 9.8% higher accuracy
(77.9%) in patient-independent test. Therefore, using the
impaired gait patterns is a promising approachto accurately
predict FoG with low latency.",NC,,Lower Back
Kim et al.,2015,Unconstrained Detection of Freezing of Gait in Parkinson's Disease Patients Using Smartphone,South Korea,FoG,,"Accelerometer, Gyroscope",AdaBoost,Walking,10-fold,Sensitivity,15 FoG,Own Recruitment,Detection: Freezing of gait using smartphone motion sensors,"Freezing of gait (FOG) is a common motor impair-
ment to suffer an inability to walk, experienced by Parkinson's
disease (PD) patients. FOG interferes with daily activities and
increases fall risk, which can cause severe health problems.
We propose a novel smartphone-based system to detect FOG
symptoms in an unconstrained way. The feasibility of single
device to sense gait characteristic was tested on the various body
positions such as ankle, trouser pocket, waist and chest pocket.
Using measured data from accelerometer and gyroscope in the
smartphone, machine learning algorithm was applied to classify
freezing episodes from normal walking. The performance of
AdaBoost.M1 classi?er showed the best sensitivity of 86% at
the waist, 84% and 81% in the trouser pocket and at the ankle
respectively, which is comparable to the results of previous
studies.",NC,,
Zhao et al.,2019,THE PREDICTION OF DYSTONIA PATIENTS� BEHAVIOR BASED ON MACHINE LEARNING AND DEEP LEARNING,China,Dystonia,,EEG,"Adaboost, DT, KNN, LOGR, SVM",NA,NA,"Accuracy, AUC",NA,NA,Provide a concise and dense summary of different outcomes using ML for the prediction of Dystonia using EEG,"Background:Prediction of human behavior from brain signals has potential
application in developing closed-loop deep brain stimulation(DBS)
systems.
Aim:This paper presents a human behavior prediction of dystonia patients
by using local field potential(LFP) signals recorded from subthalamic
nuclei(STN). We try to use different machine learning algorithms and
recurrent neural network to characterize the complicated relationship
between neural activity and behavioral symptoms.
Method:We select some internationally accepted nonlinear features to
extract from EEG signals. By combining Chebyshev type I filter and adaptive
filter, we map EEG signals to the time-frequency domain using time-frequency
analysis and corresponding to the sEMG signal, selecting the
appropriate threshold through the statistical characteristics of the sEMG
signal will divide the patients into two parts: normal part and abnormal part.
Then, the features of the neural information are preprocessed: the noise
signals are filtered, and the normalized processing eliminates dimension
differences between different features, and drop out features with high
correlation. Due to the serious un balanced, we enhance the original data
set. Afterwards, the accuracy of k-nearest neighbor is 0.68, the AUC is
0.74;The accuracy of support vector machine that select Gaussian kernel
function is 0.5618,the AUC is 0.54;Principal component analysis selects the
front seven variables with the largest variance contribution rate before
logistic regression and the accuracy is 0.528, the AUC is 0.54; The accuracy
of the Adaboost model based on decision tree is 0.53; The accuracy of LSTM
is 0.76, the AUC is 0.78.
Conclusion:It is obvious that deep learning works better and there is a
relationship between neural activity and behavioral symptoms. It can be
used to help cure the Dystonia patients.",NC,,
Leal et al.,2023,"Prediction of Dyskinesia in Parkinson's Disease Patients Using Machine Learning Algorithms	",Brazil,Dyskinesia,,"Clinical Data, Images, Bioloigcal samples","Adaboost, DT, MLP, RF, SVM","Identification of dyskinesia risk in PD patients	",NA,"Accuracy, AUC",697 PD,Michael J. Fox Foundation,Prediction: Dyskinesia in Parkinson's patients,"Dyskinesias are non preventable abnormal involuntary movements that represent the main challenge of the long term treatment of Parkinson's disease (PD) with the gold standard dopamine precursor  levodopa. Applying machine learning techniques on the data extracted from the Parkinson's Progression Marker Initiative (PPMI, Michael J. Fox Foundation), this study was aimed to identify PD patients who are at high risk of developing dyskinesias. Data regarding clinical, behavioral and neurological features from 697 PD patients were included in our study. Our results show that the Random Forest was the classifier with the best and most consistent performance, reaching an area under the receiver operating characteristic (ROC) curve of up to 91.8% with only seven features. Information regarding the severity of the symptoms, the semantic verbal fluency, and the levodopa treatment were the most important for the prediction, and were further used to create a Decision Tree, whose rules may guide the pharmacological management of PD symptoms. Our resultsn contribute to the identification of PD patients who are prone to develop dyskinesia, and may be considered in future clinical trials aiming at developing new therapeutic approaches for PD.",NC,,
Loo et al.,2024,Levodopa-Induced Dyskinesia in Parkinson's Disease: Insights from Cross-Cohort Prognostic Analysis Using Machine Learning,Luxemburg,Dyskinesia,,Clinical Data,"Adaptive Boosting, CART, Category Boosting, Hierarchical Shrinkage, Extreme Gradient Boosting, LSVM, SVM",Prognosis of LID using baseline clinical characteristics,5-fold,"AUC, C-Index",953 Dyskinesia,"PPMI, ICEBERG, LuxPark",Prediction: Levodopa-induced dyskinesia risk using ML models,"Background: Prolonged levodopa treatment in Parkinson's disease (PD) often leads to motor complications,
including levodopa-induced dyskinesia (LID). Despite continuous levodopa treatment, some patients do not
develop LID symptoms, even in later stages of the disease.
Objective: This study explores machine learning (ML) methods using baseline clinical characteristics to predict the
development of LID in PD patients over four years, across multiple cohorts.
Methods: Using interpretable ML approaches, we analyzed clinical data from three independent longitudinal PD
cohorts (LuxPARK, n = 356; PPMI, n = 484; ICEBERG, n = 113) to develop cross-cohort prognostic models and
identify potential predictors for the development of LID. We examined cohort-specific and shared predictive
factors, assessing model performance and stability through cross-validation analyses.
Results: Consistent cross-validation results for single and multiple cohort analyses highlighted the effectiveness of
the ML models and identified baseline clinical characteristics with significant predictive value for the LID
prognosis in PD. Predictors positively correlated with LID include axial symptoms, freezing of gait, and rigidity in
the lower extremities. Conversely, the risk of developing LID was inversely associated with the occurrence of
resting tremors, higher body weight, later onset of PD, and visuospatial abilities.
Conclusions: This study presents interpretable ML models for dyskinesia prognosis with significant predictive
power in cross-cohort analyses. The models may pave the way for proactive interventions against dyskinesia in
PD by optimizing levodopa dosing regimens and adjunct treatments with dopamine agonists or MAO-B in-
hibitors, and by employing non-pharmacological interventions such as dietary adjustments affecting levodopa
absorption for high-risk LID patients.",NC,,
